Timestamp,Queue,Memory,M_Bytes,M_Total,M_Ready,M_Unack,M_Rate,M_Ready Rate,M_UnAck Rate
2024-07-06 18:47:39,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:39,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:39,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:40,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:40,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:40,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:41,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:41,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:41,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:42,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:42,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:42,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:43,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:43,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:43,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:44,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:44,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:44,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:45,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:45,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:45,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:46,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:46,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:46,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:47,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:47,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:47,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:48,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:48,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:48,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:49,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:49,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:49,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:50,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:50,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:50,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:51,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:51,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:51,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:52,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:52,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:52,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:53,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:53,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:53,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:54,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:54,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:54,teste,15792,0,0,0,0,0,0,0
